entry	name	file	status	error
00401000	i76edit_save_workspace_terrain_arrays	decompile/00401000_i76edit_save_workspace_terrain_arrays.c	ok	
00401005	thunk_FUN_00407190	decompile/00401005_thunk_FUN_00407190.c	ok	
0040100f	thunk_FUN_0040f140	decompile/0040100f_thunk_FUN_0040f140.c	ok	
00401014	thunk_FUN_0040c740	decompile/00401014_thunk_FUN_0040c740.c	ok	
00401019	thunk_FUN_00412750	decompile/00401019_thunk_FUN_00412750.c	ok	
0040101e	thunk_FUN_0040c030	decompile/0040101e_thunk_FUN_0040c030.c	ok	
00401023	thunk_FUN_00408920	decompile/00401023_thunk_FUN_00408920.c	ok	
00401028	thunk_FUN_00415580	decompile/00401028_thunk_FUN_00415580.c	ok	
0040102d	thunk_FUN_00411680	decompile/0040102d_thunk_FUN_00411680.c	ok	
00401032	i76edit_export_runtime_tdef_zmap_and_zone_payloads	decompile/00401032_i76edit_export_runtime_tdef_zmap_and_zone_payloads.c	ok	
00401037	thunk_FUN_0041ce60	decompile/00401037_thunk_FUN_0041ce60.c	ok	
0040103c	i76edit_refresh_object_zone_membership_from_zone_map	decompile/0040103c_i76edit_refresh_object_zone_membership_from_zone_map.c	ok	
00401041	thunk_FUN_0040d530	decompile/00401041_thunk_FUN_0040d530.c	ok	
00401046	thunk_FUN_0041f150	decompile/00401046_thunk_FUN_0041f150.c	ok	
0040104b	thunk_FUN_0040d580	decompile/0040104b_thunk_FUN_0040d580.c	ok	
00401050	thunk_FUN_00406950	decompile/00401050_thunk_FUN_00406950.c	ok	
00401055	thunk_FUN_00409a90	decompile/00401055_thunk_FUN_00409a90.c	ok	
0040105f	thunk_FUN_0040ec80	decompile/0040105f_thunk_FUN_0040ec80.c	ok	
00401064	i76edit_save_editor_mission_file	decompile/00401064_i76edit_save_editor_mission_file.c	ok	
0040106e	thunk_FUN_004162a0	decompile/0040106e_thunk_FUN_004162a0.c	ok	
00401073	i76edit_set_status_bar_text	decompile/00401073_i76edit_set_status_bar_text.c	ok	
