address	name	type	namespace	source_type	is_primary	is_external	is_defaultish	object_string
EXTERNAL:00000001	dpCreateGroup	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpCreateGroup
EXTERNAL:00000002	dpEnumTransports	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpEnumTransports
EXTERNAL:00000003	dp_enableDebugPrint	Function	ANETDLL.DLL	IMPORTED	true	true	false	dp_enableDebugPrint
EXTERNAL:00000004	dpCreate	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpCreate
EXTERNAL:00000005	dpGetSessionDesc	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpGetSessionDesc
EXTERNAL:00000006	dpEnumSessions	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpEnumSessions
EXTERNAL:00000007	dpFreeze	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpFreeze
EXTERNAL:00000008	dpDestroyPlayer	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpDestroyPlayer
EXTERNAL:00000009	dpSetGameServer	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpSetGameServer
EXTERNAL:0000000a	dpReceive	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpReceive
EXTERNAL:0000000b	dpDestroy	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpDestroy
EXTERNAL:0000000c	dpOpen	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpOpen
EXTERNAL:0000000d	dpClose	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpClose
EXTERNAL:0000000e	dpCreatePlayer	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpCreatePlayer
EXTERNAL:0000000f	dpSetPlayerData	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpSetPlayerData
EXTERNAL:00000010	dpSend	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpSend
EXTERNAL:00000011	dpGetPlayerData	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpGetPlayerData
EXTERNAL:00000012	dpEnumPlayers	Function	ANETDLL.DLL	IMPORTED	true	true	false	dpEnumPlayers
EXTERNAL:00000013	joyGetNumDevs	Function	WINMM.DLL	IMPORTED	true	true	false	joyGetNumDevs
EXTERNAL:00000014	joyGetDevCapsA	Function	WINMM.DLL	IMPORTED	true	true	false	joyGetDevCapsA
EXTERNAL:00000015	joyGetPosEx	Function	WINMM.DLL	IMPORTED	true	true	false	joyGetPosEx
EXTERNAL:00000016	joyGetPos	Function	WINMM.DLL	IMPORTED	true	true	false	joyGetPos
EXTERNAL:00000017	timeGetTime	Function	WINMM.DLL	IMPORTED	true	true	false	timeGetTime
EXTERNAL:00000018	DisableThreadLibraryCalls	Function	KERNEL32.DLL	IMPORTED	true	true	false	DisableThreadLibraryCalls
EXTERNAL:00000019	CopyFileA	Function	KERNEL32.DLL	IMPORTED	true	true	false	CopyFileA
EXTERNAL:0000001a	GetTickCount	Function	KERNEL32.DLL	IMPORTED	true	true	false	GetTickCount
EXTERNAL:0000001b	GetLastError	Function	KERNEL32.DLL	IMPORTED	true	true	false	GetLastError
EXTERNAL:0000001c	HeapDestroy	Function	KERNEL32.DLL	IMPORTED	true	true	false	HeapDestroy
EXTERNAL:0000001d	HeapAlloc	Function	KERNEL32.DLL	IMPORTED	true	true	false	HeapAlloc
EXTERNAL:0000001e	HeapFree	Function	KERNEL32.DLL	IMPORTED	true	true	false	HeapFree
EXTERNAL:0000001f	HeapReAlloc	Function	KERNEL32.DLL	IMPORTED	true	true	false	HeapReAlloc
EXTERNAL:00000020	OutputDebugStringA	Function	KERNEL32.DLL	IMPORTED	true	true	false	OutputDebugStringA
EXTERNAL:00000021	Sleep	Function	KERNEL32.DLL	IMPORTED	true	true	false	Sleep
EXTERNAL:00000022	QueryPerformanceCounter	Function	KERNEL32.DLL	IMPORTED	true	true	false	QueryPerformanceCounter
